S.No,Timestamp,Zone Temperature,Warm/Cool Adjust,Supply Vol Press,Actual Cooling Setpt,Actual Heating Setpt,Actual Damper Position,Actual Supply Flow,Reheat Valve Command,Common Setpoint,Damper Command,Actual Sup Flow SP,Cooling Max Flow,Occupied Clg Min,Occupied Htg Flow,Cooling Command,Heating Command,Occupied Command,Occupied Status
2445,2020-06-09 11:50:00,72.82660675048828,2.1155242919921875,0.000870630145072937,78.15906524658203,70.15906524658203,45.58771896362305,38.71110153198242,0.0,72.0,-0.43289273977279663,0.0,125.0,125.0,125.0,0.0,0.0,1.0,1.0
2446,2020-06-09 11:55:00,72.82660675048828,2.1155242919921875,0.000870630145072937,78.1511459350586,70.1511459350586,-39.99561309814453,31.139118194580078,0.0,72.0,-0.43289273977279663,0.0,125.0,125.0,125.0,0.0,0.0,1.0,1.0
2447,2020-06-09 12:00:00,72.82660675048828,2.1155242919921875,0.004166588187217712,76.1524658203125,72.1524658203125,-111.93421173095703,45.027496337890625,0.0,72.0,0.4393298625946045,125.0,125.0,125.0,125.0,0.0,0.0,3.0,3.0
2448,2020-06-09 12:05:00,72.82660675048828,2.1155242919921875,0.01436544954776764,76.1511459350586,72.1511459350586,-5.109649181365967,118.01669311523438,0.0,72.0,-0.12730343639850616,125.0,125.0,125.0,125.0,0.0,0.0,3.0,3.0
2449,2020-06-09 12:10:00,72.82660675048828,2.1155242919921875,0.017847955226898193,76.1511459350586,72.1511459350586,-98.89911651611328,158.22459411621094,0.0,72.0,-0.12730343639850616,125.0,125.0,125.0,125.0,0.0,0.0,3.0,3.0
2450,2020-06-09 12:15:00,72.82660675048828,2.1155242919921875,0.017910167574882507,76.15510559082031,72.15510559082031,92.89035034179688,159.33506774902344,0.0,72.0,-0.12730343639850616,125.0,125.0,125.0,125.0,0.0,0.0,3.0,3.0
2451,2020-06-09 12:20:00,72.82660675048828,2.1155242919921875,0.01803453266620636,76.14850616455078,72.14850616455078,-0.9824560880661011,159.05809020996094,0.0,72.0,-0.12730343639850616,125.0,125.0,125.0,125.0,0.0,0.0,3.0,3.0
2452,2020-06-09 12:25:00,72.82660675048828,2.1155242919921875,0.017972320318222046,76.14850616455078,72.14850616455078,-109.11842346191406,163.16175842285156,0.0,72.0,-0.12730343639850616,125.0,125.0,125.0,125.0,0.0,0.0,3.0,3.0
2453,2020-06-09 12:30:00,72.82660675048828,2.1155242919921875,0.017910167574882507,76.14322662353516,72.14322662353516,85.5,160.16278076171875,0.0,72.0,-0.12730343639850616,125.0,125.0,125.0,125.0,0.0,0.0,3.0,3.0
2454,2020-06-09 12:35:00,72.30546569824219,2.1155242919921875,0.017910167574882507,76.14322662353516,72.14322662353516,-72.10964965820312,161.2596893310547,0.0,72.0,-0.12730343639850616,125.0,125.0,125.0,125.0,0.0,0.0,3.0,3.0
